top_depth,base_depth,thickness_ft,angle_deg,gr_mean,gr_std,shape,symmetrical,serrated,WELL
3728.5,3798.0,69.5,70.20722350447794,45.15145142857143,14.213053215540413,FUNNEL,True,False,SRN-2
3798.0,3941.5,143.5,-63.89673723866775,26.246248263888887,11.459725270797279,BELL,True,False,SRN-2
3941.5,4084.0,142.5,-41.89596991994878,41.59074160839161,30.410587675809456,BELL,True,False,SRN-2
4084.0,4203.0,119.0,74.01253748476555,67.23373514644352,30.50728848317374,FUNNEL,True,False,SRN-2
4203.0,4347.0,144.0,-66.76963126694653,36.5177570934256,15.775542657694327,BELL,True,False,SRN-2
4347.0,4611.5,264.5,48.13193762242842,76.63910905660379,12.544856911610667,FUNNEL,True,False,SRN-2
4611.5,4708.5,97.0,-43.16615824363627,73.73562205128205,14.316736547608059,BELL,True,False,SRN-2
4708.5,4774.5,66.0,31.109497773026515,78.5239105263158,3.889776164332724,CYLINDRICAL,False,False,SRN-2
4774.5,4980.0,205.5,-37.32612987805282,68.87170242718447,9.35405323399496,BELL,True,False,SRN-2
4980.0,5175.5,195.5,44.51847451428664,77.26625765306122,6.974522277374593,FUNNEL,True,False,SRN-2
5175.5,5301.5,126.0,-10.623620777843987,65.69806482213438,15.808363980283044,CYLINDRICAL,False,False,SRN-2
5301.5,5435.5,134.0,-0.5971394572025875,67.70531301115241,19.39899978769308,CYLINDRICAL,False,False,SRN-2
5435.5,5551.5,116.0,-37.91890971661436,58.759590557939916,23.678440624627036,BELL,True,False,SRN-2
5551.5,5750.5,199.0,51.4345165902282,75.54273533834586,19.96775612567585,FUNNEL,True,False,SRN-2
5750.5,5863.0,112.5,-76.11735056879861,42.06132610619469,25.15650737780817,BELL,True,False,SRN-2
5863.0,6249.0,386.0,43.747504341163854,84.15548809831823,14.739829053181461,FUNNEL,True,False,SRN-2
6249.0,6360.5,111.5,-70.28423675637877,56.625115625,29.180357499309,BELL,True,False,SRN-2
6360.5,6554.0,193.5,62.93509061554405,79.98832680412372,15.283267631025428,FUNNEL,True,False,SRN-2
6554.0,6677.0,123.0,-59.94960901405802,53.40162348178138,21.44294098919475,BELL,True,False,SRN-2
6677.0,6976.5,299.5,32.29314942350964,79.70848266666667,21.13682573438909,FUNNEL,True,False,SRN-2
6976.5,7135.0,158.5,-55.182907369919675,70.17703144654088,24.88701500734982,BELL,True,False,SRN-2
7135.0,7218.0,83.0,33.3272785590014,93.43057604790418,13.756779866152312,FUNNEL,True,False,SRN-2
7218.0,7318.5,100.5,-28.0852405709188,84.61274603960395,26.685720225861985,CYLINDRICAL,False,False,SRN-2
7318.5,7442.0,123.5,26.828234634842026,94.90009435483871,12.268161749973649,CYLINDRICAL,False,False,SRN-2
7442.0,7512.5,70.5,-42.268735849257226,85.45973802816901,19.264917048683035,BELL,False,False,SRN-2
7512.5,7654.5,142.0,7.1789591987988635,82.33773087719297,26.129294362527435,CYLINDRICAL,False,False,SRN-2
7654.5,7716.5,62.0,75.83758969961146,96.9033824,15.306136730747255,FUNNEL,True,True,SRN-2
7716.5,7830.5,114.0,-70.23712485700091,55.31907991266375,31.115700240635732,BELL,True,True,SRN-2
7830.5,7920.5,90.0,68.07850114684547,82.071491160221,29.233404146876534,FUNNEL,True,True,SRN-2
7920.5,7982.5,62.0,-76.64827183312262,50.08641359999999,14.603163426355778,BELL,True,True,SRN-2
7982.5,8084.0,101.5,34.09633790055759,70.55449460784314,29.12657762954687,FUNNEL,True,True,SRN-2
8084.0,8236.0,152.0,26.619071375039557,75.73590065573771,22.592704042788874,CYLINDRICAL,False,False,SRN-2
8236.0,8358.5,122.5,-0.4877686637125275,90.38047967479672,24.26218807900578,CYLINDRICAL,False,False,SRN-2
250.0,276.5,26.5,9.64669405473822,57.647118518518525,7.328533070764346,CYLINDRICAL,False,False,SRN-9
276.5,550.0,273.5,-26.463520048478905,54.37962773722628,13.317894862338553,CYLINDRICAL,False,False,SRN-9
550.0,679.5,129.5,20.475931328035898,66.88556230769231,15.752133169472954,CYLINDRICAL,False,False,SRN-9
679.5,773.5,94.0,11.623132792360252,60.88000211640212,13.831243341727841,CYLINDRICAL,False,False,SRN-9
773.5,1023.5,250.0,30.42443354071976,69.6106750499002,17.419863558162167,CYLINDRICAL,False,False,SRN-9
1023.5,1126.5,103.0,-56.91266762592714,58.347662944162444,19.634251539142824,BELL,True,False,SRN-9
1126.5,1352.0,225.5,43.582640007856675,60.5443296460177,15.077119944058554,FUNNEL,True,False,SRN-9
1352.0,1502.5,150.5,-43.28083489813113,39.495195364238405,20.333014437969606,BELL,True,False,SRN-9
1502.5,1610.0,107.5,39.22660401805462,48.364668055555555,15.540183493758173,FUNNEL,True,False,SRN-9
1610.0,1818.0,208.0,-33.129120872361966,28.766015347721826,12.739623796750754,BELL,True,False,SRN-9
1818.0,1952.5,134.5,31.76485398078028,30.153263703703704,12.69243104206777,CYLINDRICAL,False,False,SRN-9
1952.5,2305.5,353.0,-22.752510730322538,29.778659547383306,15.463639261848101,CYLINDRICAL,False,False,SRN-9
