pair,dtw_distance,sakoe_chiba_window,z_vs_null
SRN-2 vs SRN-9,0.023199402958118214,30,-1.4089766884692076
SRN-2 vs SRN-10,0.0214656891163138,30,-3.106232438276373
SRN-9 vs SRN-10,0.018337488049950692,30,-6.168650882667294
